# The Kid Computer dictionary
#
# Format: word <TAB> part of speech <TAB> definition
# One line per sense, sorted by word. Edit or delete lines freely; the lookup
# script reads this file directly and nothing needs rebuilding.
#
# Rebuild from source with tools/build-dictionary.py
#
# Definitions come from Simple English Wiktionary
# (https://simple.wiktionary.org), used under CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Text has been
# filtered and truncated; see tools/build-dictionary.py for exactly how.
# Derived text remains under CC BY-SA 4.0.
a-	prefix	a- is a prefix that means "not". When put in front of a word, the meaning of that word reverses.
coo	verb	If a pigeon coos, it makes a soft murmuring sound.
coo	abbrev	COO is a short way of saying "chief operating officer" or "chief operations officer"
cooed	verb	The past tense and past participle of coo.
cooing	verb	The present participle of coo.
cook	verb	To bake or boil, to prepare food.
cook	noun	A person who cooks.
cookbook	noun	A cookbook is a recipe book for cooking food.
cookbooks	noun	The plural form of cookbook; more than one (kind of) cookbook.
cooked	adj	When food is cooked, it is prepared using heat.
cooked	verb	The past tense and past participle of cook.
cooker	noun	A cooker is a stove, or a pot, used to cook food.
cooker	noun	A cooker is a person who cooks.
cookeries	noun	The plural form of cookery; more than one (kind of) cookery.
cookers	noun	The plural form of cooker; more than one (kind of) cooker.
cookery	noun	Cookery is the practice of preparing and cooking food.
cookie	noun	A cookie is a small baked cake. It is usually round and flat. Cookies are sweet.
cookie	noun	A cookie is data that is put on and read from your computer by a website.
cookies	noun	The plural form of cookie; more than one (kind of) cookie.
cooking	noun	Cooking is the action of using heat to prepare food. The most common sources of heat are stoves, ovens, and microwaves, but cooking can also be done over a flame. Cooking can make food hot, change its texture, and kill bacteria that might be living in it.
cooking	verb	The present participle of cook.
cooks	verb	The third-person singular form of cook.
cooks	noun	The plural form of cook; more than one (kind of) cook.
cool	adj	If something is cool, its temperature is between warm and cold.
cool	adj	If you say something is cool you mean it is good and you like it.
cool	adj	Someone who is cool is admired by others, someone of notably high social status.
coolant	noun	A coolant is a fluid that is used to cool an object.
coolants	noun	The plural form of coolant; more than one (kind of) coolant.
cooled	verb	The past tense and past participle of cool.
cooler	noun	A cooler is a box that is used with ice to help keep things cold.
cooler	noun	A cooler is a kind of mixed drink.
cooler	adj	The comparative form of cool; more cool.
coolers	noun	The plural form of cooler; more than one (kind of) cooler.
coolest	adj	The superlative form of cool; most cool.
cooling	verb	The present participle of cool.
cools	verb	The third-person singular form of cool.
coop	noun	A coop is an enclosure or cage for small animals.
coop	verb	If coop something, you keep it in a coop.
coop	verb	If coop something, you shut or confine it in a narrow space.
cooped	verb	The past tense and past participle of coop.
cooper	noun	A cooper is someone who fixes barrels and tubs.
cooperate	verb	If people cooperate, they help each other and work together towards the same goal.
cooperated	verb	The past tense and past participle of cooperate.
cooperates	verb	The third-person singular form of cooperate.
cooperating	verb	The present participle of cooperate.
cooperation	noun	Cooperation is the act of working together to achieve a shared goal.
cooperations	noun	The plural form of cooperation; more than one (kind of) cooperation.
cooperative	adj	In a cooperative effort, project, etc., a number of people work together to do something.
cooperative	adj	If someone is cooperative, they listen and try to help or work with you.
cooperative	noun	A cooperative is a type of business that is owned by the people working there or by its customers.
cooperatively	adv	If something is done cooperatively, it is done in a cooperative way.
cooperatives	noun	The plural form of cooperative; more than one (kind of) cooperative.
coopers	noun	The plural form of cooper; more than one (kind of) cooper.
cooping	verb	The present participle of coop.
coops	noun	The plural form of coop; more than one (kind of) coop.
coops	verb	The third-person singular form of coop.
coordinate	noun	Coordinates are a set of numbers that tells others where you are on a map.
coordinate	verb	When you coordinate with someone, you work with him/her to finish an activity.
coordinated	verb	The past tense and past participle of coordinate.
coordinates	noun	The plural form of coordinate; more than one (kind of) coordinate.
coordinates	verb	The third-person singular form of coordinate.
coordinating	verb	The present participle of coordinate.
coordination	noun	The ability of the muscles in a body to work together.
coordination	noun	The planning or timing of actions so that they work together.
coordinations	noun	The plural form of coordination; more than one (kind of) coordination.
coos	noun	The plural form of coo; more than one (kind of) coo.
coos	verb	The third-person singular form of coo.
cop	verb	If someone cops someone else or something, they capture them; they take them.
cope	verb	If you cope with a problem, you do things so that the problem does not stop you.
coped	verb	The past tense and past participle of cope.
copernicium	noun	Copernicium is a synthetic radioactive element with an atomic number of 112 and symbol Cn.
copes	verb	The third-person singular form of cope.
copied	verb	The past tense and past participle of copy.
copier	noun	A short word for photocopier.
copier	noun	A person who copies.
copiers	noun	The plural form of copier; more than one (kind of) copier.
copies	noun	The plural form of copy; more than one (kind of) copy.
copies	verb	The third-person singular form of copy.
coping	verb	The present participle of cope.
copped	verb	The past tense and past participle of cop.
copper	noun	Copper is a metal that is a red-brown colour. Sometimes coins of small value are made from copper. The symbol for copper is Cu with an atomic number of 29.
copper	noun	A copper is a penny, a coin of small value made of copper.
copper	adj	Made of copper.
coppers	noun	The plural form of copper; more than one (kind of) copper.
coppice	noun	A coppice forms when a tree is cut down and smaller stems grow all around the cut trunk(s).
coppices	noun	The plural form of coppice; more than one (kind of) coppice.
copping	verb	The present participle of cop.
coprolite	noun	Coprolite is dung that has become a fossil over time.
coprolites	noun	The plural form of coprolite; more than one (kind of) coprolite.
cops	noun	The plural form of cop; more than one (kind of) cop.
cops	verb	The third-person singular form of cop.
copulated	verb	The past tense and past participle of copulate.
copulates	verb	The third-person singular form of copulate.
copulating	verb	The present participle of copulate.
copy	noun	A copy of something looks or acts like it.
copy	noun	A copy of a book, newspaper, painting, etc. is one of many that are exactly the same.
copy	verb	If you copy something, you make something look exactly the same as it.
copycat	noun	A copycat is a person who imitates or plagiarizes other people's work.
copycat	adj	If something is copycat, it is not an original work.
copycat	verb	If you copycat a person, you act as a copycat.
copycats	noun	The plural form of copycat; more than one (kind of) copycat.
copycats	verb	The third-person singular form of copycat.
copycatted	verb	The past tense and past participle of copycat.
copycatting	verb	The present participle of copycat.
copying	verb	The present participle of copy.
copyist	noun	A copyist is a person who publishes written copies of manuscripts.
copyists	noun	The plural form of copyist; more than one (kind of) copyist.
copyright	noun	Copyright is the rights given to a creator to protect their work from other uses.
copyright	verb	If you copyright something, you register its copyright.
copyrighted	verb	The past tense and past participle of copyright.
copyrighting	verb	The present participle of copyright.
copyrights	noun	The plural form of copyright; more than one (kind of) copyright.
copyrights	verb	The third-person singular form of copyright.
coracle	noun	A coracle is a small, round boat made of a frame covered with waterproof material.
coracles	noun	The plural form of coracle; more than one (kind of) coracle.
coral	noun	Coral is a hard material formed on the bottom of the sea by the skeletons of small creatures.
coral	noun	Coral is an orange pink colour.
corals	noun	The plural form of coral; more than one (kind of) coral.
cord	noun	A long, thin rope or wire.
cord	noun	A measure of firewood.
cordage	noun	Cordage is a set of ropes and cords, especially when used for a ship's rigging.
cordage	noun	Cordage is the amount of wood measured in cords.
cordages	noun	The plural form of cordage; more than one (kind of) cordage.
cordless	adj	If something is cordless, it does not have a cord.
cordon	noun	A cordon is a line of people or things placed around an area to prevent access.
cordon	verb	If the police cordon off an area, they block the area to prevent access.
cordoned	verb	The past tense and past participle of cordon.
cordoning	verb	The present participle of cordon.
cordons	noun	The plural form of cordon; more than one (kind of) cordon.
cordons	verb	The third-person singular form of cordon.
cords	noun	The plural form of cord; more than one (kind of) cord.
core	noun	The core is the centre part of something.
core	verb	If you core something, you remove the centre from it.
cored	verb	The past tense and past participle of core.
cores	noun	The plural form of core; more than one (kind of) core.
cores	verb	The third-person singular form of core.
corgi	noun	A corgi is a small dog with short legs and a short tail.
corgis	noun	The plural form of corgi; more than one (kind of) corgi.
corgwn	noun	The plural form of corgi; more than one (kind of) corgi.
coriander	noun	Coriander is a herb. The parts of the plant that are most often used in cooking are the leaves and the seeds.
coring	verb	The present participle of core.
cork	noun	A cork is a small, round piece of wood which people put in the top of a bottle to close it.
cork	noun	Cork is a type of wood. It is quite soft and light. It is often used to make corks (sense 1).
cork	verb	If you cork a bottle, you seal it with a cork.
corked	verb	The past tense and past participle of cork.
corking	verb	The present participle of cork.
corks	noun	The plural form of cork; more than one (kind of) cork.
corks	verb	The third-person singular form of cork.
corn	noun	Corn is a kind of grain, usually with large yellow seeds, that is often eaten (also called maize).
corn	noun	The plant corn grows on.
corn	noun	Any kind of grain.
cornball	noun	A cornball is an unsophisticated person.
cornball	noun	A cornball is something or someone excessively corny.
cornball	adj	Something that is cornball is naive or corny.
cornballs	noun	The plural form of cornball; more than one (kind of) cornball.
corndog	noun	Corndog is another way of spelling corn dog.
corndogs	noun	Corndogs is another way of spelling corn dogs.
corndogs	noun	The plural form of corndog; more than one (kind of) corndog.
cornea	noun	The cornea is a transparent layer on the front part of the eye.
corneas	noun	The plural form of cornea; more than one (kind of) cornea.
corneous	adj	If something is corneous, it contains or looks like a horn.
corner	noun	A corner is the place where two lines or edges meet.
corner	noun	In business, a corner is a monopoly.
corner	verb	To corner someone is to get someone into a place where he or she cannot leave.
cornered	verb	The past tense and past participle of corner.
cornering	verb	The present participle of corner.
corners	noun	The plural form of corner; more than one (kind of) corner.
corners	verb	The third-person singular form of corner.
cornice	noun	A cornice is a decorative horizontal molding.
cornices	noun	The plural form of cornice; more than one (kind of) cornice.
cornichon	noun	Cornichon is a pickled cucumber.
cornichons	noun	The plural form of cornichon; more than one (kind of) cornichon.
cornier	adj	The comparative form of corny; more corny.
corniest	adj	The superlative form of corny; most corny.
cornmeal	noun	Cornmeal is a dried corn ground to a coarse meal.
cornmeals	noun	The plural form of cornmeal; more than one (kind of) cornmeal.
corns	noun	The plural form of corn; more than one (kind of) corn.
cornstarch	noun	Cornstarch is a powder made of maize that is used to cook.
cornucopia	noun	A cornucopia of something is a plentiful supply of it.
cornucopias	noun	The plural form of cornucopia; more than one (kind of) cornucopia.
corny	adj	If something is corny, it is too dramatic or sentimental.
corolla	noun	A corolla is the petals of a flower that encloses the reproductive organ or the flower.
corollae	noun	The plural form of corolla; more than one (kind of) corolla.
corollas	noun	The plural form of corolla; more than one (kind of) corolla.
corona	noun	The corona is the outermost atmosphere of the sun. (visible during an eclipse)
corona	noun	The corona is a bright circle around the moon or sun.
corona	noun	The corona is an electrical glow around a conductor.
coronaries	noun	The plural form of coronary; more than one (kind of) coronary.
coronary	adj	If something is coronary, it is related to or affects arteries that surround and supply blood to the heart muscle.
coronary	noun	A coronary is a heart attack; specifically, a sudden blockage of blood flow to the heart muscle caused by the occlusion (blocking) or thrombosis (clotting) of a coronary artery.
coronas	noun	The plural form of corona; more than one (kind of) corona.
coronate	verb	If you coronate a person, you crown them.
coronated	verb	The past tense and past participle of coronate.
coronates	verb	The third-person singular form of coronate.
coronating	verb	The present participle of coronate.
coronation	noun	Coronation is the ceremony of crowning a king or queen.
coronations	noun	The plural form of coronation; more than one (kind of) coronation.
coronavirus	noun	Coronavirus is a member of a group of RNA viruses that cause a variety of diseases in humans and animals.
coronavirus	noun	Used to refer to the COVID-19 pandemic.
coronaviruses	noun	The plural form of coronavirus; more than one (kind of) coronavirus.
coroner	noun	A coroner is an official who inquests into unnatural deaths.
coroners	noun	The plural form of coroner; more than one (kind of) coroner.
corpora	noun	The plural form of corpus; more than one (kind of) corpus.
corporal	noun	A corporal is someone with a military rank below sergeant and above private.
corporal	adj	Corporal acts, like punishment, involve the body rather than the mind or spirit.
corporals	noun	The plural form of corporal; more than one (kind of) corporal.
corporate	adj	Corporate finance, planning, management, etc. is related to business or a company.
corporates	noun	The plural form of corporate; more than one (kind of) corporate.
corporation	noun	A corporation is a large company or a group of companies that work together.
corporations	noun	The plural form of corporation; more than one (kind of) corporation.
corps	noun	A corps is an army formation that is made up of two or more divisions.
corpse	noun	A dead body.
corpses	noun	The plural form of corpse; more than one (kind of) corpse.
corpulent	adj	If a person is corpulent, they are fat.
corpus	noun	A corpus is a collection of writings, especially the entire works of an author or a body of writing on a particular subject.
corpuses	noun	The plural form of corpus; more than one (kind of) corpus.
correct	adj	Something that is correct has no mistakes.
correct	adj	Something that is correct is right.
correct	verb	When you correct something that is wrong, you make it right.
correctable	adj	If something is correctable, it can be corrected.
corrected	verb	The past tense and past participle of correct.
correcting	verb	The present participle of correct.
correction	noun	Correction is when something is corrected.
corrections	noun	The plural form of correction; more than one (kind of) correction.
correctly	adv	If you do something correctly, then you do it as it is supposed to be done, doing it in a correct way.
correctness	noun	Correctness is the state or quality of being correct.
corrects	verb	The third-person singular form of correct.
correlate	verb	If something correlates with another, they are related to each other either by having the same characteristics or depend on each other to work.
correlate	noun	A correlate is something that is related to another.
correlated	verb	The past tense and past participle of correlate.
correlates	verb	The third-person singular form of correlate.
correlates	noun	The plural form of correlate; more than one (kind of) correlate.
correlating	verb	The present participle of correlate.
correlation	noun	Correlation is a measure of the linear relationship between two random variables. If the correlation is higher than zero, the variables are likely to change in the same direction. If the correlation is lower than zero, the variables are likely to change in the opposite directions.
correlation	noun	Correlation refers to the relationship between two or more objects or events, although they may not be related to each other.
correlations	noun	The plural form of correlation; more than one (kind of) correlation.
correspond	verb	If x corresponds to y, there is a close relationship between x and y.
correspond	verb	If two people correspond, they write letters to each other.
corresponded	verb	The past tense and past participle of correspond.
correspondence	noun	If two people are in correspondence, they are in a friendly discussion.
correspondence	noun	A correspondence is a written communication (such as letters) between different people
correspondences	noun	The plural form of correspondence; more than one (kind of) correspondence.
correspondent	noun	A correspondent is a journalist who is hired to report for a newspaper or any other broadcasting organization.
correspondents	noun	The plural form of correspondent; more than one (kind of) correspondent.
corresponding	verb	The present participle of correspond.
corresponds	verb	The third-person singular form of correspond.
corridor	noun	A corridor is a narrow hall with rooms that branch off of it.
corridor	noun	A corridor is a piece of land that is set aside only for use to travel between two places.
corridor	noun	A corridor is airspace that is set aside only for use of aircraft travelling.
corridors	noun	The plural form of corridor; more than one (kind of) corridor.
corroborate	verb	If you corroborate a story or idea, you confirm, support or provide evidence for it.
corroborated	verb	The past tense and past participle of corroborate.
corroborates	verb	The third-person singular form of corroborate.
corroborating	verb	The present participle of corroborate.
corrode	verb	If something corrodes, it is destroyed or damaged slowly by chemical reaction.
corrode	verb	If something corrodes, it is destroyed or weakened gradually.
corroded	verb	The past tense and past participle of corrode.
corrodes	verb	The third-person singular form of corrode.
corroding	verb	The present participle of corrode.
corrosion	noun	Corrosion is the breakdown of materials due to chemical reactions.
corrosion	noun	Corrosion is the erosion by chemical action, especially oxidation.
corrosions	noun	The plural form of corrosion; more than one (kind of) corrosion.
corrosive	adj	If something is corrosive, it can gradually destroy the texture or substance of a body.
corrugate	verb	If you corrugate something, you fold or cause it to fold into folds.
corrugated	verb	The past tense and past participle of corrugate.
corrugates	verb	The third-person singular form of corrugate.
corrugating	verb	The present participle of corrugate.
corrupt	adj	If someone is corrupt, they are weak in morals; it is depraved or perverted.
corrupt	adj	If something is corrupt, it is not correct; it is with lots of errors in it.
corrupt	adj	If someone or something is corrupt, it is not pure; it is spoiled or tainted.
corruptable	adj	Someone that is corruptable can be bribed.
corrupted	verb	The past tense and past participle of corrupt.
corrupted	adj	If someone is corrupted, they are immoral or perverted; they are depraved.
corrupted	adj	If someone or something is corrupted, they are dishonest.
corruptible	adj	Someone that is corruptible can be bribed.
corrupting	verb	The present participle of corrupt.
corruption	noun	Corruption is the improper use of power to benefit yourself.
corruptions	noun	The plural form of corruption; more than one (kind of) corruption.
corrupts	verb	The third-person singular form of corrupt.
corsage	noun	A corsage is a small bouquet of flowers that a woman pins on her dress or wears around her wrist for a formal occasion.
corsages	noun	The plural form of corsage; more than one (kind of) corsage.
corset	noun	A corset is a tight underwear for women that hold their waist, hips and bust.
corsets	noun	The plural form of corset; more than one (kind of) corset.
cortege	noun	A cortege is a ceremonial procession, especially for a wedding or funeral.
corteges	noun	The plural form of cortege; more than one (kind of) cortege.
corundum	noun	Corundum is an extremely hard mineral that is used as an abrasive.
corundums	noun	The plural form of corundum; more than one (kind of) corundum.
cos	noun	Cos is a kind of lettuce with long, crisp leaves.
coses	noun	The plural form of cos; more than one (kind of) cos.
cosier	adj	The comparative form of cosy; more cosy.
cosies	noun	The plural form of cosy; more than one (kind of) cosy.
cosiest	adj	The superlative form of cosy; most cosy.
cosign	verb	If two people cosign a document, they sign it jointly.
cosigned	verb	The past tense and past participle of cosign.
cosigning	verb	The present participle of cosign.
cosigns	verb	The third-person singular form of cosign.
cosine	noun	The cosine is the ratio of the length of the side adjacent to an acute angle to the length of the hypotenuse.
cosines	noun	The plural form of cosine; more than one (kind of) cosine.
cosiness	noun	The cosiness of a place is how cosy it is.
cosmetic	adj	If something is cosmetic, it is related to improving the beauty of something.
cosmetic	adj	If something is cosmetic, it only affects the outer appearance of something.
cosmetic	noun	A cosmetic is any substances that is applied externally to improve the color or texture of the skin
cosmetics	noun	The plural form of cosmetic; more than one (kind of) cosmetic.
cosmetics	noun	Cosmetics is the preparations applied to enhance the beauty of skin, hair, etc.
cosmetologist	noun	A cosmetologist is someone who provides advice on cosmetics and other beauty treatments.
cosmetologists	noun	The plural form of cosmetologist; more than one (kind of) cosmetologist.
cosmetology	noun	Cosmetology is the science of cosmetics.
cosmetology	noun	Cosmetology is the profession of a cosmetologist or beautician.
cosmic	adj	If something is cosmic, it is related to the universe or cosmos.
cosmologies	noun	The plural form of cosmology; more than one (kind of) cosmology.
cosmologist	noun	A cosmologist' is a person who studies cosmology.
cosmologists	noun	The plural form of cosmologist; more than one (kind of) cosmologist.
cosmology	noun	Cosmology is the study of the physical universe, its structure, dynamics, origin, evolution, and fate.
cosmonaut	noun	A cosmonaut is an astronaut, especially a Russian or Soviet one.
cosmonauts	noun	The plural form of cosmonaut; more than one (kind of) cosmonaut.
cosmopolitan	adj	Having a mixture of different cultures.
cosmos	noun	The cosmos is the universe.
cosmoses	noun	The plural form of cosmos; more than one (kind of) cosmos.
cosset	verb	If you cosset someone, you care for and protect them in an excessive way.
cosseted	verb	The past tense and past participle of cosset.
cosseting	verb	The present participle of cosset.
cossets	verb	The third-person singular form of cosset.
cossetted	verb	The past tense and past participle of cosset.
cossetting	verb	The present participle of cosset.
cost	noun	The cost of something is the price that a person pays for it.
cost	verb	When you say that a thing costs, you say that one must pay in order to buy it.
cost	verb	One may say that an action costs a certain bad result.
costar	noun	A costar is an actor who appears on-screen with other actors of equal importance.
costar	verb	If an actor costars, they appear in a production as a costar.
costared	verb	The past tense and past participle of costar.
costaring	verb	The present participle of costar.
costars	noun	The plural form of costar; more than one (kind of) costar.
costars	verb	The third-person singular form of costar.
costed	verb	The past tense and past participle of cost.
costing	verb	The present participle of cost.
costing	noun	The costing of something is the estimated cost of it.
costings	noun	The plural form of costing; more than one (kind of) costing.
costlier	adj	The comparative form of costly; more costly.
costliest	adj	The superlative form of costly; most costly.
costly	adj	If something is costly, it costs a lot of money.
costs	noun	The plural form of cost; more than one (kind of) cost.
costs	verb	The third-person singular form of cost.
costume	noun	A costume is the clothes you wear that makes you look like someone or something else.
costume	verb	If you costume yourself, you dress up with a costume.
costumed	verb	The past tense and past participle of costume.
costumes	noun	The plural form of costume; more than one (kind of) costume.
costumes	verb	The third-person singular form of costume.
costumier	noun	A costumier is a maker or supplier of theatrical costumes.
costumiers	noun	The plural form of costumier; more than one (kind of) costumier.
costuming	verb	The present participle of costume.
cosy	adj	If a place is cosy, it is comfortable and provides warmth.
cosy	noun	A cosy is a padded or knit covering put on an item to keep it warm, especially a teapot or egg.
cot	noun	A cot is a simple bed, one that can be portable or used only for a short time, such as when camping.
cot	noun	A cot is a crib (child's bed).
coterminous	adj	If two things are coterminous, they have matching boundaries or, share a boundary.
cots	noun	The plural form of cot; more than one (kind of) cot.
cottage	noun	A cottage is a small house, usually in the countryside.
cottages	noun	The plural form of cottage; more than one (kind of) cottage.
cotton	noun	Cotton is a plant that produces a soft fiber also called cotton. This fiber is used to make fabric.
cottons	noun	The plural form of cotton; more than one (kind of) cotton.
cotyliform	adj	If a plant is cotyliform, it has the form of a cup (cotyle)
couch	noun	A soft, plush seat for one or more people, often made of leather or cloth.
couches	noun	The plural form of couch; more than one (kind of) couch.
cougar	noun	A cougar is a kind of mountain lion; Puma concolor.
cougars	noun	The plural form of cougar; more than one (kind of) cougar.
cough	verb	If you cough, you quickly blow air out and make a noise because of a feeling in the throat.
cough	noun	A cough is the action or sound of quickly blowing air out because of a feeling in the throat.
coughed	verb	The past tense and past participle of cough.
coughing	verb	The present participle of cough.
coughs	noun	The plural form of cough; more than one (kind of) cough.
coughs	verb	The third-person singular form of cough.
could	verb	If you could do something, you were able to do it.
could	verb	If you could something, but you don't know if you want to, you have the option of doing do it.
couldn't	verb	The negative form of could; could not.
coulrophobia	noun	Coulrophobia is the fear of clowns.
council	noun	A council is a group of people who are chosen or elected to make laws, rules, and decisions.
councillor	noun	A councillor is a member of a council.
councillors	noun	The plural form of councillor; more than one (kind of) councillor.
councilman	noun	A councilman is a male member of a council, usually a city council.
councilmen	noun	The plural form of councilman; more than one (kind of) councilman.
councilor	noun	A councilor is a member of a council.
councilors	noun	The plural form of councilor; more than one (kind of) councilor.
councils	noun	The plural form of council; more than one (kind of) council.
counsel	noun	Counsel is the giving or receiving of advice.
counsel	noun	A counsel is a group of people that tell a person or organization what they should do.
counsel	verb	When you counsel someone, you advise them.
counseled	verb	The past tense and past participle of counsel.
counseling	noun	& (uncountable) If you need counseling, it means that you need professional assistance from other people.
counseling	verb	The present participle of counsel.
counselings	noun	The plural form of counseling; more than one (kind of) counseling.
counselled	verb	The past tense and past participle of counsel.
counselling	noun	& (uncountable) If you need counselling, it means that you need professional assistance from other people.
counselling	verb	The present participle of counsel.
counsellings	noun	The plural form of counselling; more than one (kind of) counselling.
counsellor	noun	A counsellor is a professional who counsels people.
counsellors	noun	The plural form of counsellor; more than one (kind of) counsellor.
counselor	noun	A counselor is a professional who counsels people.
counselors	noun	The plural form of counselor; more than one (kind of) counselor.
counsels	noun	The plural form of counsel; more than one (kind of) counsel.
counsels	verb	The third-person singular form of counsel.
count	verb	If you count something, you find how many there are, usually by looking at them one by one.
count	verb	If something counts, it is accepted, allowed, or included.
count	verb	If something counts, it's important or useful.
countable	adj	If something is countable it can be counted. Also, since this is true, the number must not be infinite (without an end).
countable	adj	A countable noun is one you can use with a number (e.g., seven apples).
countdown	noun	A countdown is an act of counting numbers in reverse until it reaches zero.
countdown	noun	A countdown is the final moments before the end of something.
countdown	noun	A countdown is a digital display that counts down, hence the name.
countdowns	noun	The plural form of countdown; more than one (kind of) countdown.
counted	verb	The past tense and past participle of count.
countenance	noun	The countenance of a person is their appearance, especially the features and expression of the face.
countenance	verb	If you countenance something, you tolerate or support it.
countenanced	verb	The past tense and past participle of countenance.
countenances	noun	The plural form of countenance; more than one (kind of) countenance.
countenances	verb	The third-person singular form of countenance.
countenancing	verb	The present participle of countenance.
counter	noun	A counter is a flat surface to work on, often in a kitchen.
counter	noun	A counter is a small coin-shaped object, often used in games.
counter	noun	A counter is someone who counts.
counter-	prefix	Counter- is put before a word to mean to be against or opposed to.
counter-attack	noun	A counter-attack is an attack made in response to another attack.
counter-attack	verb	If you counter-attack a person, you attack them after they attack you.
counter-attacked	verb	The past tense and past participle of counter-attack.
counter-attacking	verb	The present participle of counter-attack.
counter-attacks	noun	The plural form of counter-attack; more than one (kind of) counter-attack.
counter-attacks	verb	The third-person singular form of counter-attack.
counter-clockwise	adv	If something moves counter-clockwise, it moves in the opposite direction of the hands of a clock.
counter-clockwise	adj	A counter-clockwise direction, movement, spin, etc., is in the opposite direction of the hands of a clock.
counter-offensive	noun	A counter-offensive is an attack made in response to a previous offensive, and intended to stop it.
counter-offensives	noun	The plural form of counter-offensive; more than one (kind of) counter-offensive.
counter-terrorism	noun	Counter-terrorism is the measures taken to combat or reduce terrorist activities.
counteract	verb	If something counteracts the effects of something else, it acts against those effects.
counteracted	verb	The past tense and past participle of counteract.
counteracting	verb	The present participle of counteract.
counteracts	verb	The third-person singular form of counteract.
counterargue	verb	If you counterargue with someone, you argue against them.
counterargued	verb	The past tense and past participle of counterargue.
counterargues	verb	The third-person singular form of counterargue.
counterarguing	verb	The present participle of counterargue.
counterattack	noun	A counterattack is an attack made in response to another attack.
counterattack	verb	If you counterattack a person, you attack them after they attack you.
counterattacked	verb	The past tense and past participle of counterattack.
counterattacking	verb	The present participle of counterattack.
counterattacks	noun	The plural form of counterattack; more than one (kind of) counterattack.
counterattacks	verb	The third-person singular form of counterattack.
counterbalance	noun	A counterbalance is a weight that is put in opposition to an equal weight so it keeps that in balance.
counterbalance	verb	If you counterbalance something, you fit it with a counterbalance.
counterbalanced	verb	The past tense and past participle of counterbalance.
counterbalances	noun	The plural form of counterbalance; more than one (kind of) counterbalance.
counterbalances	verb	The third-person singular form of counterbalance.
counterbalancing	verb	The present participle of counterbalance.
counterclockwise	adv	If something moves counterclockwise, it moves in the opposite direction of the hands of a clock.
counterclockwise	adj	A counterclockwise direction, movement, spin, etc., is in the opposite direction of the hands of a clock.
countered	verb	The past tense and past participle of counter.
counterfeit	noun	A counterfeit is a fake made from an original item.
counterfeit	adj	If something is counterfeit, it is meant to deceive people into thinking it is the real thing.
counterfeit	verb	If something is counterfeited, it is made to look like the original thing, or to make it look like an official or valid thing.
counterfeited	verb	The past tense and past participle of counterfeit.
counterfeiter	noun	A counterfeiter is a person who makes copies of things, copies that are considered false and not legal; a person who counterfeits.
counterfeiters	noun	The plural form of counterfeiter; more than one (kind of) counterfeiter.
counterfeiting	verb	The present participle of counterfeit.
counterfeits	noun	The plural form of counterfeit; more than one (kind of) counterfeit.
counterfeits	verb	The third-person singular form of counterfeit.
countering	verb	The present participle of counter.
counterintuitive	adj	If something is counterintuitive, it is contrary to the use of common sense.
countermand	verb	If a person countermands, they revoke or cancel an order by giving a new one.
countermand	noun	A countermand is an order to the contrary of a previous one.
countermanded	verb	The past tense and past participle of countermand.
countermanding	verb	The present participle of countermand.
countermands	verb	The third-person singular form of countermand.
countermands	noun	The plural form of countermand; more than one (kind of) countermand.
countermeasure	noun	A countermeasure is an action taken to counteract a danger or threat.
countermeasures	noun	The plural form of countermeasure; more than one (kind of) countermeasure.
counteroffensive	noun	A counteroffensive is an attack made in response to a previous offensive, and intended to stop it.
counteroffensives	noun	The plural form of counteroffensive; more than one (kind of) counteroffensive.
counteroffer	noun	A counteroffer is an offer made against an unacceptable offer.
counteroffer	verb	If you counteroffer someone, you offer something as a counteroffer.
counteroffered	verb	The past tense and past participle of counteroffer.
counteroffering	verb	The present participle of counteroffer.
counteroffers	noun	The plural form of counteroffer; more than one (kind of) counteroffer.
counteroffers	verb	The third-person singular form of counteroffer.
counterpart	noun	A counterpart is either of two parts that fit together, or complement one another.
counterpart	noun	A counterpart is a duplicate of a legal document.
counterparts	noun	The plural form of counterpart; more than one (kind of) counterpart.
counterplot	noun	A counterplot is a plot made in opposition to another.
counterplot	verb	If you counterplot, you form a plot or plan in opposition to the actions of another.
counterplots	noun	The plural form of counterplot; more than one (kind of) counterplot.
counterplots	verb	The third-person singular form of counterplot.
counterplotted	verb	The past tense and past participle of counterplot.
counterplotting	verb	The present participle of counterplot.
counterproductive	adj	If something is counterproductive, it causes more problems than a help.
counterproposal	noun	A counterproposal is a proposal made as an alternative to another proposal.
counterproposals	noun	The plural form of counterproposal; more than one (kind of) counterproposal.
counterpropose	verb	If you counterpropose an idea, you offer it with another idea; a counterproposal.
counterproposed	verb	The past tense and past participle of counterpropose.
counterproposes	verb	The third-person singular form of counterpropose.
counterproposing	verb	The present participle of counterpropose.
counterrevolutionaries	noun	The plural form of counterrevolutionary; more than one (kind of) counterrevolutionary.
counters	noun	The plural form of counter; more than one (kind of) counter.
counters	verb	The third-person singular form of counter.
counterterrorism	noun	Counterterrorism is the measures taken to combat or reduce terrorist activities.
counterweight	noun	A counterweight is a heavy mass of often iron or concrete that is used to reduce the amount of work which must be done to effect the raising and lowering of load.
counterweight	verb	If you counterweight something, you fit it with counterweight.
counterweighted	verb	The past tense and past participle of counterweight.
counterweighting	verb	The present participle of counterweight.
